,Cumulative Winnings
542,-69325
543,-72925
544,-72875
545,-72775
546,-73225
547,-73125
548,-73275
549,-53275
550,-53225
551,-52925
552,-52625
553,-52525
554,-52325
555,-52325
556,-72325
557,-72225
558,-71925
559,-71625
560,-71425
561,-71325
562,-71125
563,-70825
564,-70975
565,-70875
566,-71025
567,-91025
568,-90825
569,-90725
570,-90525
571,-90125
572,-90075
573,-91425
574,-92025
575,-92025
576,-91825
577,-91225
578,-90925
579,-89725
580,-89875
581,-89950
582,-90100
583,-90550
584,-90700
585,-90775
586,-90475
587,-90550
588,-90350
589,-90425
590,-90025
591,-90100
592,-89900
593,-89975
594,-90125
595,-89725
596,-89325
597,-89225
598,-89375
599,-88775
600,-108775
601,-108175
602,-107975
603,-107675
604,-107375
605,-107375
606,-107175
607,-107075
608,-106875
609,-106775
610,-106475
611,-106475
612,-106275
613,-106175
614,-105975
615,-105975
616,-105775
617,-105475
618,-105075
619,-104875
620,-84875
621,-84950
622,-85250
623,-85250
624,-84950
625,-84200
626,-83400
627,-82650
628,-82800
629,-82875
630,-82675
631,-82750
632,-86575
633,-86575
634,-86375
635,-86375
636,-86375
637,-86275
638,-86225
639,-86125
640,-86275
641,-86350
642,-86150
643,-86050
644,-86200
645,-86200
646,-85700
647,-105700
648,-105500
649,-105575
650,-105575
651,-105650
652,-105450
653,-103650
654,-123650
655,-123800
656,-123600
657,-123675
658,-123475
659,-123475
660,-123425
661,-122725
662,-123475
663,-123375
664,-123525
665,-124650
666,-124350
667,-124425
668,-124225
669,-124125
670,-127500
671,-127400
672,-127350
673,-127350
674,-127150
675,-126850
676,-126650
677,-126550
678,-126700
679,-126850
680,-146850
681,-146925
682,-146525
683,-146425
684,-146225
685,-146125
686,-145525
687,-145975
688,-145675
689,-145575
690,-145575
691,-145475
692,-145425
693,-145125
694,-144825
695,-144725
696,-144675
697,-144575
698,-144275
699,-144350
700,-144500
701,-143750
702,-143350
703,-143050
704,-143200
705,-143100
706,-142900
707,-142800
708,-142600
709,-142675
710,-142625
711,-142700
712,-142500
713,-142650
714,-141750
715,-141825
716,-141975
717,-141675
718,-141475
719,-141375
720,-144375
721,-144450
722,-144050
723,-143950
724,-143750
725,-143450
726,-143250
727,-143150
728,-143300
729,-142900
730,-142850
731,-141050
732,-142925
733,-162925
734,-162725
735,-161975
736,-161975
737,-161875
738,-161675
739,-163475
740,-163175
741,-162875
742,-163025
743,-162925
744,-163975
745,-163875
746,-163675
747,-163575
748,-163525
749,-163600
750,-163550
751,-163450
752,-163250
753,-163150
754,-162950
755,-163850
756,-163650
757,-164100
758,-163800
759,-163875
760,-163675
761,-163575
762,-164025
763,-163725
764,-173625
765,-173425
766,-171625
767,-172075
768,-171875
769,-171775
770,-171475
771,-171925
772,-172075
773,-172150
774,-172450
775,-172350
776,-172500
777,-172950
778,-172650
779,-172550
780,-172350
781,-172250
782,-172400
783,-172400
784,-172200
785,-172100
786,-171900
787,-171800
788,-171950
789,-171850
790,-171650
791,-171725
792,-171675
793,-171575
794,-171525
795,-171600
796,-171400
797,-171475
798,-171275
799,-171175
800,-171125
801,-170525
802,-170975
803,-171050
804,-170750
805,-170650
806,-170800
807,-170875
808,-170675
809,-172025
810,-171825
811,-171725
812,-171425
813,-171325
814,-171125
815,-171025
816,-171175
817,-170275
818,-169975
819,-170050
820,-171299.5
821,-170999.5
822,-171149.5
823,-171049.5
824,-170999.5
825,-190999.5
826,-191149.5
827,-191049.5
828,-190849.5
829,-190849.5
830,-190999.5
831,-191074.5
832,-191024.5
833,-190924.5
834,-190874.5
835,-190474.5
836,-190474.5
837,-190374.5
838,-190524.5
839,-190424.5
840,-190224.5
841,-190124.5
842,-190274.5
843,-190174.5
844,-189574.5
845,-189474.5
846,-189424.5
847,-189324.5
848,-189024.5
849,-188924.5
850,-188624.5
851,-188624.5
852,-188424.5
853,-188424.5
854,-188224.5
855,-189124.5
856,-189274.5
857,-189174.5
858,-189324.5
859,-189224.5
860,-189174.5
861,-189074.5
862,-188874.5
863,-188949.5
864,-188899.5
865,-188899.5
866,-189049.5
867,-188749.5
